x|y|z|qx|qy|qz|qw|wx|wy|wz|vx|vy|ax|ay|yaw|yawv|yawa|fx|fy|fvx|fvy|fax|fay|fyaw|fyawv|fyawa|steer|gas|brake|Ax|SW||wheelbase|SR|K|v|curv_yawv|SW_yawv|
||||||||||||||||||||||||||||||||2.7|14.78|0.0014||||0.369087042302877
502.148435|-4.107589|0.509117|-3E-06|-0.000382|-0.002347|0.999997|0|0|0|-0.001469|8E-06|-1.326755|0.00613|-0.004695|0|1.6E-05|502.147305|-4.10758|-0.001469|8E-06|-1.326754|0.001226|-0.004695|0|1.6E-05|0|0|0|1|8||||0.03|0.001469021783365|0|0|1
502.148358|-4.107715|0.509118|-0.000104|-0.000401|-0.002394|0.999997|-0.007104|-0.001878|-0.003025|-0.000174|-0.005604|0.344544|0.03258|-0.004788|-0.003002|0.01712|502.147791|-4.108107|-0.010531|-0.019076|-0.294916|-0.025313|-0.004787|-0.001424|0.005485|8|0.050088|0|1|8|||||0.021789808099201|-0.065351654017193|-2.60792374725568|1.75825072230611
502.148473|-4.107956|0.509175|-0.000224|-0.000509|-0.002498|0.999997|-0.001952|-0.006435|-0.004486|0.006479|-0.006052|0.146617|0.018765|-0.004995|-0.004478|0.006085|502.14774|-4.108143|-0.010379|-0.006898|-0.041508|0.026714|-0.004955|-0.002533|0.000661|8|0.09363|0|1|8|||||0.01246218459982|-0.203254893210016|-8.11109042161735|4.05573804021141
502.149065|-4.1081|0.509312|-0.000189|-0.000713|-0.002568|0.999996|0.004872|-0.009732|-0.000104|0.019295|-0.000681|0.3789|0.228378|-0.005135|5.1E-05|0.161698|502.148125|-4.107751|0.003194|0.007972|0.182181|0.135427|-0.005031|0.00078|0.061427|8|0.130996|0|1|8|||||0.008588039357152|0.090823989919234|3.62442228032584|0.299151255951702
502.15043|-4.107966|0.509495|3E-06|-0.000988|-0.002469|0.999996|0.00855|-0.01205|0.007648|0.037321|0.008195|0.471472|0.203638|-0.004937|0.007767|0.136431|502.149355|-4.107344|0.021868|0.017267|0.269548|0.203016|-0.004844|0.006129|0.092795|8|0.163148|0|1|8|||||0.027863214333598|0.219967442615177|8.77802429864941|0.009458153270139
502.152899|-4.10754|0.509707|0.000163|-0.001311|-0.002229|0.999997|0.004329|-0.013538|0.01054|0.063082|0.015617|0.561759|0.1887|-0.004459|0.010569|0.040746|502.151763|-4.106581|0.047072|0.027482|0.389128|0.231371|-0.004451|0.009784|0.075473|8|0.187477|0|1|8|||||0.05450718767282|0.179499262716114|7.16310861295816|0.010943549901638
502.156757|-4.10672|0.509931|0.000239|-0.001646|-0.001915|0.999997|0.00158|-0.013057|0.015395|0.092345|0.026088|0.627378|0.213323|-0.003831|0.01554|0.150858|502.155546|-4.105373|0.077864|0.038141|0.5078|0.245825|-0.003803|0.015389|0.103063|8|0.208251|0|1|8|||||0.086703739117757|0.177489461891597|7.0829220752473|0.013141123751074
502.162176|-4.105469|0.51016|0.000225|-0.001954|-0.001451|0.999997|-0.002065|-0.011563|0.02078|0.125691|0.03683|0.694116|0.21439|-0.002904|0.020875|0.087251|502.160919|-4.103697|0.113277|0.048698|0.61091|0.250286|-0.002904|0.020363|0.098577|8|0.224858|0|1|8|||||0.123301151385541|0.16514849838124|6.59046792948938|0.031043447778093
502.169338|-4.103769|0.510388|0.00015|-0.002218|-0.000858|0.999997|-0.003869|-0.009622|0.026649|0.161875|0.047866|0.749232|0.223742|-0.001717|0.026792|0.126094|502.168051|-4.101537|0.151924|0.059092|0.692267|0.250486|-0.001715|0.026211|0.109974|8|0.23859|0|1|8|||||0.16301155247405|0.160792284977303|6.41666533492577|0.039171072837902
