x|y|z|qx|qy|qz|qw|wx|wy|wz|vx|vy|ax|ay|yaw|yawv|yawa|fx|fy|fvx|fvy|fax|fay|fyaw|fyawv|fyawa|steer|gas|brake|Ax|SW|

502.148435|-4.107589|0.509117|-0.000003|-0.000382|-0.002347|0.999997|0.000000|0.000000|0.000000|-0.001469|0.000008|-1.326755|0.006130|-0.004695|0.000000|0.000016|502.147305|-4.107580|-0.001469|0.000008|-1.326754|0.001226|-0.004695|0.000000|0.000016|0.000000|0.000000|0.000000|1|8|
502.148358|-4.107715|0.509118|-0.000104|-0.000401|-0.002394|0.999997|-0.007104|-0.001878|-0.003025|-0.000174|-0.005604|0.344544|0.032580|-0.004788|-0.003002|0.017120|502.147791|-4.108107|-0.010531|-0.019076|-0.294916|-0.025313|-0.004787|-0.001424|0.005485|8.000000|0.050088|0.000000|1|8|
502.148473|-4.107956|0.509175|-0.000224|-0.000509|-0.002498|0.999997|-0.001952|-0.006435|-0.004486|0.006479|-0.006052|0.146617|0.018765|-0.004995|-0.004478|0.006085|502.147740|-4.108143|-0.010379|-0.006898|-0.041508|0.026714|-0.004955|-0.002533|0.000661|8.000000|0.093630|0.000000|1|8|
502.149065|-4.108100|0.509312|-0.000189|-0.000713|-0.002568|0.999996|0.004872|-0.009732|-0.000104|0.019295|-0.000681|0.378900|0.228378|-0.005135|0.000051|0.161698|502.148125|-4.107751|0.003194|0.007972|0.182181|0.135427|-0.005031|0.000780|0.061427|8.000000|0.130996|0.000000|1|8|
502.150430|-4.107966|0.509495|0.000003|-0.000988|-0.002469|0.999996|0.008550|-0.012050|0.007648|0.037321|0.008195|0.471472|0.203638|-0.004937|0.007767|0.136431|502.149355|-4.107344|0.021868|0.017267|0.269548|0.203016|-0.004844|0.006129|0.092795|8.000000|0.163148|0.000000|1|8|
502.152899|-4.107540|0.509707|0.000163|-0.001311|-0.002229|0.999997|0.004329|-0.013538|0.010540|0.063082|0.015617|0.561759|0.188700|-0.004459|0.010569|0.040746|502.151763|-4.106581|0.047072|0.027482|0.389128|0.231371|-0.004451|0.009784|0.075473|8.000000|0.187477|0.000000|1|8|
502.156757|-4.106720|0.509931|0.000239|-0.001646|-0.001915|0.999997|0.001580|-0.013057|0.015395|0.092345|0.026088|0.627378|0.213323|-0.003831|0.015540|0.150858|502.155546|-4.105373|0.077864|0.038141|0.507800|0.245825|-0.003803|0.015389|0.103063|8.000000|0.208251|0.000000|1|8|
502.162176|-4.105469|0.510160|0.000225|-0.001954|-0.001451|0.999997|-0.002065|-0.011563|0.020780|0.125691|0.036830|0.694116|0.214390|-0.002904|0.020875|0.087251|502.160919|-4.103697|0.113277|0.048698|0.610910|0.250286|-0.002904|0.020363|0.098577|8.000000|0.224858|0.000000|1|8|
502.169338|-4.103769|0.510388|0.000150|-0.002218|-0.000858|0.999997|-0.003869|-0.009622|0.026649|0.161875|0.047866|0.749232|0.223742|-0.001717|0.026792|0.126094|502.168051|-4.101537|0.151924|0.059092|0.692267|0.250486|-0.001715|0.026211|0.109974|8.000000|0.238590|0.000000|1|8|
502.178369|-4.101626|0.510626|0.000049|-0.002436|-0.000112|0.999997|-0.004075|-0.008036|0.032694|0.200418|0.058843|0.787902|0.225461|-0.000224|0.032841|0.127063|502.177078|-4.098887|0.192641|0.069279|0.751318|0.246953|-0.000230|0.032355|0.117422|8.000000|0.249964|0.000000|1|8|
502.189371|-4.099046|0.510898|-0.000040|-0.002624|0.000789|0.999996|-0.003262|-0.007246|0.038936|0.240730|0.069684|0.820412|0.217806|0.001578|0.039080|0.126331|502.188096|-4.095745|0.234704|0.079251|0.793649|0.240608|0.001565|0.038664|0.121804|8.000000|0.259579|0.000000|1|8|
502.202425|-4.096034|0.511226|-0.000096|-0.002802|0.001849|0.999994|-0.001444|-0.007066|0.045596|0.282348|0.080957|0.843839|0.233608|0.003699|0.045743|0.138440|502.201176|-4.092096|0.277731|0.089338|0.825070|0.237342|0.003687|0.045365|0.128882|8.000000|0.267882|0.000000|1|8|
502.217591|-4.092562|0.511606|-0.000101|-0.002978|0.003080|0.999991|0.000631|-0.007003|0.052477|0.325149|0.093003|0.867368|0.248448|0.006162|0.052612|0.138195|502.216374|-4.087909|0.321615|0.099877|0.851197|0.237005|0.006147|0.052244|0.133312|8.000000|0.274971|0.000000|1|8|
502.234927|-4.088590|0.512007|-0.000060|-0.003150|0.004485|0.999985|0.002115|-0.006701|0.059534|0.368974|0.105965|0.885455|0.269023|0.008971|0.059664|0.142690|502.233743|-4.083143|0.366286|0.111141|0.873761|0.239924|0.008956|0.059333|0.137679|8.000000|0.280975|0.000000|1|8|
502.254479|-4.084073|0.512391|0.000007|-0.003310|0.006068|0.999976|0.002700|-0.006060|0.066720|0.413645|0.119956|0.900543|0.289804|0.012137|0.066847|0.144712|502.253324|-4.077751|0.411667|0.123319|0.893746|0.245189|0.012120|0.066564|0.141085|8.000000|0.286059|0.000000|1|8|
502.276288|-4.078960|0.512725|0.000077|-0.003451|0.007833|0.999963|0.002430|-0.005159|0.074011|0.458988|0.134959|0.912534|0.309308|0.015665|0.074141|0.146666|502.275154|-4.071681|0.457650|0.136500|0.911234|0.251745|0.015648|0.073909|0.143836|8.000000|0.290384|0.000000|1|8|
502.300384|-4.073206|0.512991|0.000134|-0.003567|0.009780|0.999946|0.001643|-0.004162|0.081399|0.504860|0.150887|0.921729|0.326986|0.019560|0.081537|0.149230|502.299262|-4.064885|0.504114|0.150686|0.926181|0.258648|0.019544|0.081360|0.146370|8.000000|0.294088|0.000000|1|8|
502.326793|-4.066769|0.513185|0.000170|-0.003658|0.011914|0.999922|0.000748|-0.003205|0.088881|0.551158|0.167592|0.929703|0.340453|0.023828|0.089026|0.150100|502.325672|-4.057320|0.550957|0.165800|0.938920|0.264874|0.023812|0.088881|0.148211|8.000000|0.297267|0.000000|1|8|
502.355536|-4.059616|0.513312|0.000187|-0.003726|0.014236|0.999892|0.000122|-0.002365|0.096442|0.597793|0.184955|0.935266|0.353631|0.028472|0.096594|0.152604|502.354403|-4.048948|0.598089|0.181743|0.949535|0.270277|0.028457|0.096487|0.150175|8.000000|0.300002|0.000000|1|8|
502.386629|-4.051716|0.513384|0.000195|-0.003776|0.016748|0.999853|-0.000071|-0.001679|0.104083|0.644685|0.202934|0.939991|0.365429|0.033496|0.104237|0.152897|502.385469|-4.039737|0.645445|0.198425|0.958557|0.274683|0.033482|0.104142|0.151492|8.000000|0.302361|0.000000|1|8|
502.420085|-4.043039|0.513417|0.000205|-0.003810|0.019451|0.999804|0.000154|-0.001156|0.111759|0.691757|0.221557|0.942106|0.380246|0.038903|0.111913|0.154789|502.418883|-4.029651|0.692957|0.215805|0.966046|0.278644|0.038890|0.111856|0.152903|8.000000|0.304408|0.000000|1|8|
502.455912|-4.033550|0.513426|0.000227|-0.003833|0.022348|0.999743|0.000755|-0.000754|0.119585|0.738874|0.241042|0.942688|0.398228|0.044698|0.119737|0.157084|502.454648|-4.018652|0.740554|0.233934|0.972292|0.282763|0.044686|0.119662|0.154650|8.000000|0.306250|0.000000|1|8|
502.494116|-4.023205|0.513423|0.000266|-0.003847|0.025440|0.999669|0.001359|-0.000470|0.127425|0.786018|0.261424|0.942463|0.417556|0.050885|0.127571|0.156739|502.492769|-4.006695|0.788194|0.252865|0.977798|0.287098|0.050872|0.127501|0.155621|8.000000|0.307888|0.000000|1|8|
502.534696|-4.011956|0.513415|0.000319|-0.003857|0.028729|0.999580|0.001837|-0.000269|0.135302|0.833094|0.282863|0.940474|0.439487|0.057464|0.135446|0.157914|502.533242|-3.993731|0.835819|0.272688|0.982542|0.291973|0.057451|0.135386|0.156623|8.000000|0.309386|0.000000|1|8|
502.577652|-3.999747|0.513410|0.000382|-0.003862|0.032214|0.999473|0.002090|-0.000135|0.143222|0.880040|0.305448|0.937133|0.463670|0.064438|0.143365|0.158894|502.576065|-3.979705|0.883372|0.293500|0.986639|0.297499|0.064425|0.143314|0.157579|8.000000|0.310779|0.000000|1|8|
502.622978|-3.986522|0.513409|0.000449|-0.003864|0.035898|0.999348|0.002125|-0.000058|0.151178|0.926805|0.329236|0.933338|0.487341|0.071809|0.151321|0.159176|502.621229|-3.964561|0.930806|0.315375|0.990296|0.303354|0.071795|0.151270|0.158274|8.000000|0.312088|0.000000|1|8|
502.670667|-3.972219|0.513413|0.000516|-0.003865|0.039780|0.999201|0.001978|-0.000031|0.159136|0.973361|0.354216|0.928981|0.510908|0.079578|0.159279|0.158782|502.668725|-3.948239|0.978081|0.338358|0.993637|0.309372|0.079563|0.159231|0.158553|8.000000|0.313318|0.000000|1|8|
502.720713|-3.956780|0.513421|0.000577|-0.003866|0.043859|0.999030|0.001713|-0.000055|0.167044|1.019689|0.380335|0.923362|0.534733|0.087744|0.167190|0.158664|502.718545|-3.930683|1.025161|0.362458|0.996589|0.315362|0.087728|0.167178|0.158580|8.000000|0.314464|0.000000|1|8|
502.773104|-3.940144|0.513434|0.000635|-0.003867|0.048136|0.998833|0.001651|-0.000069|0.175056|1.065667|0.407757|0.915982|0.560933|0.096307|0.175204|0.161398|502.770671|-3.911830|1.071977|0.387737|0.998912|0.321677|0.096292|0.175187|0.159562|8.000000|0.315606|0.000000|1|8|
502.827827|-3.922247|0.513449|0.000694|-0.003868|0.052614|0.998607|0.001676|-0.000081|0.183111|1.111300|0.436427|0.909161|0.585682|0.105273|0.183259|0.160511|502.825089|-3.891616|1.118502|0.414215|1.001135|0.327902|0.105257|0.183210|0.159925|8.000000|0.316711|0.000000|1|8|
502.884867|-3.903026|0.513465|0.000755|-0.003869|0.057290|0.998350|0.001810|-0.000077|0.191139|1.156547|0.466393|0.900441|0.612695|0.114640|0.191286|0.160986|502.881780|-3.869980|1.164697|0.441927|1.003054|0.334343|0.114623|0.191246|0.160282|8.000000|0.317784|0.000000|1|8|
502.944207|-3.882414|0.513482|0.000822|-0.003869|0.062167|0.998058|0.002018|-0.000041|0.199217|1.201329|0.497745|0.890693|0.641001|0.124410|0.199363|0.161813|502.940723|-3.846852|1.210511|0.470925|1.004698|0.341075|0.124392|0.199312|0.160808|8.000000|0.318860|0.000000|1|8|
503.005827|-3.860338|0.513500|0.000895|-0.003869|0.067243|0.997729|0.002234|0.000015|0.207305|1.245598|0.530546|0.879915|0.670714|0.134585|0.207449|0.161651|503.001894|-3.822162|1.255898|0.501269|1.006148|0.348191|0.134565|0.207389|0.161084|8.000000|0.319939|0.000000|1|8|
503.069704|-3.836725|0.513517|0.000974|-0.003867|0.072520|0.997359|0.002421|0.000082|0.215399|1.289291|0.564871|0.867730|0.701839|0.145163|0.215542|0.162132|503.065267|-3.795835|1.300806|0.533023|1.007355|0.355742|0.145142|0.215480|0.161407|8.000000|0.321036|0.000000|1|8|
503.135818|-3.811503|0.513534|0.001050|-0.003864|0.077992|0.996946|0.001548|-0.000143|0.222828|1.332804|0.599988|0.877197|0.691892|0.156138|0.222941|0.124735|503.130826|-3.767823|1.345466|0.565876|1.012635|0.358356|0.156099|0.222758|0.148519|8.000000|0.321838|0.000000|1|8|
503.204180|-3.784650|0.513557|0.001077|-0.003873|0.083620|0.996490|-0.000574|-0.000942|0.228451|1.376510|0.634856|0.862880|0.714777|0.167430|0.228572|0.114628|503.198581|-3.738122|1.389942|0.599434|1.016074|0.361197|0.167383|0.229158|0.134775|8.000000|0.322136|0.000000|1|8|
503.274760|-3.756103|0.513599|0.001085|-0.003894|0.089393|0.995988|-0.000142|-0.001227|0.235103|1.418822|0.671826|0.832819|0.759158|0.179022|0.235256|0.150364|503.268480|-3.706644|1.433642|0.634156|1.013264|0.367269|0.179001|0.235948|0.138353|8.000000|0.323076|0.000000|1|8|
503.347498|-3.725781|0.513673|0.001118|-0.003920|0.095347|0.995436|0.001157|-0.001289|0.242777|1.460070|0.710513|0.818195|0.787937|0.190980|0.242920|0.149982|503.340470|-3.673307|1.476491|0.670221|1.010506|0.373249|0.190972|0.243015|0.141795|8.000000|0.324340|0.000000|1|8|
503.422358|-3.693610|0.513779|0.001188|-0.003950|0.101484|0.994829|0.002699|-0.001274|0.250073|1.500542|0.750837|0.798823|0.826429|0.203313|0.250199|0.145717|503.414512|-3.638034|1.518546|0.707778|1.008244|0.381030|0.203299|0.250135|0.142831|8.000000|0.325604|0.000000|1|8|
503.499292|-3.659485|0.513910|0.001303|-0.003979|0.107803|0.994164|0.004729|-0.000825|0.258033|1.539589|0.793746|0.763127|0.889613|0.216020|0.258171|0.174206|503.490541|-3.600708|1.559530|0.747263|1.003481|0.393309|0.216012|0.257998|0.153941|8.000000|0.327248|0.000000|1|8|
503.578229|-3.623275|0.514052|0.001469|-0.003997|0.114331|0.993434|0.006299|-0.000103|0.267025|1.577112|0.839535|0.740708|0.937631|0.229157|0.267152|0.178208|503.568483|-3.561198|1.599371|0.789003|1.000522|0.406876|0.229144|0.266459|0.163735|8.000000|0.329212|0.000000|1|8|
503.659117|-3.584862|0.514184|0.001655|-0.004001|0.121073|0.992634|0.006190|0.000316|0.275567|1.613691|0.887493|0.721364|0.980783|0.242735|0.275681|0.164633|503.648286|-3.519395|1.638236|0.833007|1.000626|0.421013|0.242700|0.274919|0.165378|8.000000|0.331014|0.000000|1|8|
503.741907|-3.544125|0.514287|0.001825|-0.003996|0.128016|0.991762|0.005182|0.000559|0.283813|1.649094|0.937742|0.694337|1.028053|0.256728|0.283938|0.168281|503.729892|-3.475186|1.676069|0.879299|1.001125|0.436026|0.256680|0.283431|0.167159|8.000000|0.332782|0.000000|1|8|
503.826542|-3.500947|0.514352|0.001968|-0.003980|0.135161|0.990814|0.003889|0.000745|0.292412|1.683118|0.990277|0.667423|1.071376|0.271144|0.292553|0.174743|503.813236|-3.428456|1.712756|0.927860|1.001679|0.450781|0.271091|0.292115|0.170409|8.000000|0.334633|0.000000|1|8|
503.912962|-3.455221|0.514375|0.002081|-0.003956|0.142515|0.989783|0.002745|0.000872|0.301113|1.715862|1.044844|0.642688|1.109831|0.285994|0.301262|0.172911|503.898255|-3.379101|1.748279|0.978593|1.002934|0.464688|0.285935|0.300831|0.171756|8.000000|0.336456|0.000000|1|8|
504.001110|-3.406848|0.514358|0.002173|-0.003925|0.150074|0.988665|0.002094|0.001005|0.309718|1.747346|1.101276|0.616454|1.146561|0.301277|0.309871|0.172298|503.984886|-3.327025|1.782619|1.031377|1.004516|0.477724|0.301213|0.309526|0.172129|8.000000|0.338202|0.000000|1|8|
504.090926|-3.355731|0.514310|0.002257|-0.003888|0.157838|0.987455|0.002040|0.001229|0.318395|1.777438|1.159564|0.587075|1.184409|0.316991|0.318550|0.174902|504.073063|-3.272134|1.815704|1.086128|1.005793|0.490211|0.316926|0.318257|0.173091|8.000000|0.339919|0.000000|1|8|
504.182345|-3.301774|0.514243|0.002350|-0.003844|0.165807|0.986148|0.002499|0.001563|0.327188|1.805987|1.219802|0.554797|1.224495|0.333142|0.327340|0.176322|504.162713|-3.214331|1.847432|1.142831|1.006548|0.502678|0.333075|0.327035|0.174150|8.000000|0.341637|0.000000|1|8|
504.275293|-3.244874|0.514169|0.002460|-0.003793|0.173983|0.984738|0.003223|0.001951|0.336018|1.832843|1.282104|0.519311|1.266964|0.349734|0.336164|0.176652|504.253754|-3.153513|1.877686|1.201525|1.006686|0.515584|0.349664|0.335840|0.174899|8.000000|0.343369|0.000000|1|8|
504.369688|-3.184921|0.514097|0.002590|-0.003735|0.182364|0.983221|0.003928|0.002317|0.344877|1.857828|1.346594|0.480013|1.311940|0.366768|0.345018|0.177596|504.346098|-3.089577|1.906323|1.262279|1.006065|0.529258|0.366695|0.344680|0.175658|8.000000|0.345143|0.000000|1|8|
504.465439|-3.121798|0.514034|0.002738|-0.003670|0.190949|0.981589|0.004428|0.002601|0.353795|1.880756|1.413386|0.437152|1.358805|0.384246|0.353932|0.178929|504.439646|-3.022409|1.933185|1.325180|1.004681|0.543857|0.384169|0.353567|0.176590|8.000000|0.346985|0.000000|1|8|
504.562447|-3.055385|0.513983|0.002895|-0.003601|0.199740|0.979838|0.004650|0.002765|0.362772|1.901465|1.482542|0.391466|1.406257|0.402171|0.362908|0.180063|504.534290|-2.951898|1.958119|1.390305|1.002719|0.559332|0.402089|0.362506|0.177582|8.000000|0.348906|0.000000|1|8|
504.660605|-2.985559|0.513944|0.003056|-0.003529|0.208734|0.977961|0.004622|0.002808|0.371801|1.919829|1.554062|0.343411|1.453247|0.420547|0.371938|0.181126|504.629918|-2.877928|1.980987|1.457703|1.000408|0.575509|0.420459|0.371499|0.178588|8.000000|0.350899|0.000000|1|8|
504.759800|-2.912198|0.513914|0.003215|-0.003456|0.217932|0.975953|0.004445|0.002767|0.380884|1.935732|1.627909|0.293115|1.499254|0.439375|0.381024|0.182332|504.726409|-2.800385|2.001662|1.527389|0.997916|0.592193|0.439282|0.380548|0.179651|8.000000|0.352957|0.000000|1|8|
504.859915|-2.835182|0.513892|0.003369|-0.003382|0.227332|0.973806|0.004244|0.002703|0.390031|1.949064|1.704028|0.240543|1.544109|0.458659|0.390174|0.183616|504.823637|-2.719159|2.020027|1.599355|0.995334|0.609234|0.458560|0.389659|0.180778|8.000000|0.355071|0.000000|1|8|
504.960827|-2.754394|0.513873|0.003519|-0.003307|0.236934|0.971514|0.004119|0.002675|0.399241|1.959704|1.782362|0.185462|1.587926|0.478402|0.399387|0.184870|504.921472|-2.634141|2.035962|1.673574|0.992665|0.626556|0.478296|0.398832|0.181936|8.000000|0.357233|0.000000|1|8|
505.062405|-2.669718|0.513855|0.003668|-0.003230|0.246737|0.969070|0.004117|0.002725|0.408515|1.967517|1.862867|0.127449|1.631004|0.498608|0.408661|0.186095|505.019775|-2.545223|2.049344|1.750015|0.989822|0.644166|0.498494|0.408066|0.183098|8.000000|0.359440|0.000000|1|8|
505.164512|-2.581040|0.513837|0.003819|-0.003150|0.256740|0.966468|0.004231|0.002866|0.417851|1.972345|1.945514|0.066053|1.673629|0.519279|0.417997|0.187322|505.118401|-2.452301|2.060031|1.828646|0.986665|0.662132|0.519158|0.417363|0.184256|8.000000|0.361696|0.000000|1|8|
505.267004|-2.488247|0.513818|0.003976|-0.003065|0.266941|0.963700|0.004418|0.003088|0.427250|1.974010|2.030284|0.000932|1.715916|0.540418|0.427395|0.188561|505.217195|-2.355272|2.067868|1.909442|0.983044|0.680550|0.540289|0.426720|0.185412|8.000000|0.364008|0.000000|1|8|
505.369676|-2.391197|0.513799|0.004190|-0.002954|0.277367|0.960750|0.009882|0.007553|0.440696|1.968036|2.120361|-0.252379|1.925564|0.562087|0.440971|0.374388|505.315834|-2.253924|2.070411|1.993550|0.949389|0.715710|0.562029|0.440362|0.252154|8.000000|0.368277|0.000000|1|8|
505.472090|-2.289594|0.513765|0.004639|-0.002730|0.288178|0.957562|0.015837|0.013613|0.459818|1.953623|2.217064|-0.279465|1.941290|0.584626|0.460005|0.350840|505.413888|-2.147966|2.067291|2.081654|0.935721|0.740823|0.584552|0.456365|0.293570|8.000000|0.373980|0.000000|1|8|
505.574122|-2.183317|0.513693|0.005092|-0.002468|0.299352|0.954126|0.010991|0.011182|0.473645|1.939794|2.313489|-0.288148|1.943596|0.608006|0.473738|0.212855|505.511323|-2.037371|2.061285|2.172783|0.946468|0.765436|0.607803|0.470303|0.270595|8.000000|0.377076|0.000000|1|8|
505.675687|-2.072237|0.513574|0.005380|-0.002249|0.310749|0.950474|0.005859|0.007632|0.483117|1.922584|2.412135|-0.404853|2.007102|0.631939|0.483239|0.192201|505.607987|-1.922029|2.052034|2.266837|0.949824|0.798194|0.631669|0.482282|0.242700|8.000000|0.379397|0.000000|1|8|
505.776525|-1.956174|0.513410|0.005555|-0.002061|0.322331|0.946608|0.002462|0.005309|0.493413|1.900149|2.513144|-0.477348|2.021510|0.656359|0.493590|0.216260|505.703633|-1.801819|2.038800|2.363397|0.951400|0.826368|0.656104|0.493628|0.230710|8.000000|0.382137|0.000000|1|8|
505.876463|-1.835076|0.513215|0.005619|-0.001910|0.334117|0.942513|-0.001258|0.002079|0.504099|1.875130|2.614100|-0.527368|2.018654|0.681314|0.504304|0.207831|505.798122|-1.676714|2.022131|2.461589|0.956957|0.848667|0.681078|0.504339|0.219545|8.000000|0.384447|0.000000|1|8|
505.975373|-1.708932|0.513013|0.005602|-0.001797|0.346094|0.938182|-0.002212|0.000540|0.514110|1.846827|2.715422|-0.607538|2.034276|0.706787|0.514315|0.195096|505.891298|-1.546682|2.002015|2.561010|0.959474|0.870101|0.706560|0.514359|0.207414|8.000000|0.386485|0.000000|1|8|
506.073060|-1.577684|0.512832|0.005604|-0.001690|0.358244|0.933610|-0.000132|0.001634|0.523950|1.814161|2.817560|-0.697941|2.049367|0.732752|0.524143|0.200376|505.982956|-1.411679|1.978035|2.661452|0.957405|0.890071|0.732536|0.524129|0.201319|8.000000|0.388611|0.000000|1|8|
506.169305|-1.441282|0.512693|0.005683|-0.001565|0.370567|0.928787|0.002796|0.003825|0.534242|1.776851|2.920395|-0.794673|2.064057|0.759220|0.534418|0.209483|506.072876|-1.271669|1.949853|2.762749|0.951801|0.908737|0.759011|0.534034|0.201250|8.000000|0.390897|0.000000|1|8|
506.263875|-1.299678|0.512609|0.005849|-0.001409|0.383067|0.923701|0.005370|0.006134|0.544789|1.734320|3.024143|-0.907219|2.085908|0.786209|0.544942|0.210223|506.160810|-1.126612|1.917043|2.864924|0.942037|0.928424|0.785995|0.544099|0.202329|8.000000|0.393373|0.000000|1|8|
506.356495|-1.152803|0.512578|0.006084|-0.001223|0.395738|0.918343|0.007137|0.008093|0.555254|1.685788|3.129097|-1.032975|2.110845|0.813723|0.555385|0.207517|506.246472|-0.976457|1.879050|2.968101|0.927822|0.950462|0.813492|0.554235|0.202599|8.000000|0.396113|0.000000|1|8|
506.446857|-1.000578|0.512595|0.006362|-0.001012|0.408571|0.912704|0.007771|0.009193|0.565641|1.630766|3.235236|-1.165412|2.132039|0.841757|0.565764|0.208085|506.329550|-0.821158|1.835352|3.072352|0.910068|0.974673|0.841506|0.564450|0.203189|8.000000|0.399161|0.000000|1|8|
506.534634|-0.842934|0.512644|0.006644|-0.000786|0.421560|0.906776|0.007353|0.009266|0.576121|1.569019|3.342316|-1.301136|2.148090|0.870312|0.576249|0.210905|506.409715|-0.660675|1.785559|3.177663|0.890223|1.000969|0.870041|0.574792|0.204719|8.000000|0.402518|0.000000|1|8|
506.619494|-0.679814|0.512709|0.006905|-0.000559|0.434702|0.900548|0.006338|0.008587|0.586758|1.500476|3.450001|-1.436408|2.157030|0.899395|0.586897|0.213083|506.486632|-0.494983|1.729431|3.283926|0.869865|1.029110|0.899104|0.585275|0.206655|8.000000|0.406135|0.000000|1|8|
506.701105|-0.511182|0.512774|0.007129|-0.000337|0.447990|0.894010|0.005233|0.007612|0.597492|1.425220|3.557880|-1.570702|2.157261|0.929014|0.597642|0.215236|506.559969|-0.324073|1.666865|3.390938|0.849993|1.058503|0.928702|0.595894|0.208742|8.000000|0.409926|0.000000|1|8|
506.779139|-0.337021|0.512827|0.007317|-0.000125|0.461418|0.887153|0.004144|0.006380|0.608066|1.343616|3.665487|-1.681043|2.143129|0.959168|0.608213|0.200100|506.629409|-0.147954|1.598030|3.498462|0.834217|1.089152|0.958829|0.606276|0.204899|8.000000|0.413696|0.000000|1|8|
506.853315|-0.157337|0.512862|0.007448|0.000060|0.474958|0.879977|0.002453|0.003531|0.617056|1.257489|3.771936|-1.765226|2.113861|0.989816|0.617188|0.161872|506.694713|0.033335|1.523677|3.606136|0.825068|1.120987|0.989438|0.615541|0.187866|8.000000|0.416849|0.000000|1|8|
506.923386|0.027833|0.512881|0.007511|0.000201|0.488565|0.872495|0.001469|0.001217|0.624690|1.166431|3.876906|-1.878802|2.083895|1.020873|0.624826|0.149338|506.755643|0.219736|1.443934|3.713422|0.813414|1.152192|1.020475|0.623792|0.170720|8.000000|0.419685|0.000000|1|8|
